site,term,tfidf_score
Pixyle AI,product,0.5090278103806222
WebPlus,marketing,0.5089133578079826
Kompass,kompass,0.4472135954999579
MBB INFO,development,0.4365641250653993
Deloitte Digital,digital,0.3991140631426436
DOTS Digital Agency,digital,0.3991140631426436
Sopra Steria,service,0.3882901373576604
Tanit Web,solution,0.38810773641189056
Triweb,web,0.3834824944236852
Incept,reality,0.3735436838188142
Zahou Tech,website,0.36650833306891567
ONLYTECH,web,0.33407655239053047
Wedia,solution,0.32659863237109044
Pixeo,website,0.3258752679561411
Solixy,marketing,0.32551538350846376
Same Team,development,0.3202563076101743
Hello Web Tunisie,entreprise,0.31799936400190804
HexaByte,ligne,0.31330417999518295
Axon,idemia,0.31234752377721214
SKWERE,design,0.30151134457776363
Tecyom,design,0.29488391230979427
Pureclic,marketing,0.2940858488375231
The Road,design,0.2837902619042413
WebTrend,analytics,0.2786932057166471
REWEB,creation,0.2786932057166471
WebTrend,dater,0.2786932057166471
Aurone,web,0.2785430072655778
Web Media Tunisie,seo,0.2785430072655778
Pixeo,web,0.2715627232967842
Agoragroup,service,0.26802813370944867
24-7 Digital Design,design,0.2672612419124244
STEPS,dater,0.2667325346846322
Capgemini,code,0.25928148942086576
,digital,0.25766265056033233
,optimization,0.25766265056033233
Fiverr Business,services,0.25607375986579195
Fiverr Business,service,0.25607375986579195
Idealump Tunisia,development,0.25298221281347033
Idealump Tunisia,design,0.25298221281347033
Numericia,javascript,0.25
Numericia,développement,0.25
Touchlink,marketing,0.25
Brainlabs,paid,0.24951314462072213
Brainlabs,social,0.24951314462072213
Incept,augmented,0.24902912254587614
Incept,augmented reality,0.24902912254587614
Novatis,design,0.24743582965269675
Brandwatch,brandwatch,0.24663181183349503
KOTA,digital,0.24659848095803594
Mega-DEV,design,0.24571804673358047
Mega-DEV,development,0.24571804673358047
Mega-DEV,solution,0.24571804673358047
Wedia,wedia,0.24494897427831783
Zahou Tech,design,0.24433888871261045
Solixy,numérique,0.24413653763134782
,solution,0.242535625036333
I4NET,solution,0.24174688920761409
The Road,technologie,0.23649188492020107
Triweb,développement,0.2300894966542111
Triweb,entreprise,0.2300894966542111
Agence Web Sigma,web,0.22549380840084865
Agence Web Sigma,service,0.22549380840084865
Wattnow,energy,0.22549380840084865
Wattnow,solution,0.22549380840084865
Agence Web Sigma,customized,0.22549380840084865
Kompass,services,0.22360679774997896
Kompass,kompass kompass entreprise,0.22360679774997896
Kompass,entreprise spécialisée services,0.22360679774997896
Kompass,kompass entreprise spécialisée,0.22360679774997896
Kompass,gestion,0.22360679774997896
Kompass,kompass entreprise,0.22360679774997896
Kompass,gestion croissance,0.22360679774997896
PeoplePerHour,solution,0.22360679774997896
PeoplePerHour,tailored,0.22360679774997896
PeoplePerHour,advanced,0.22360679774997896
Kompass,kompass kompass,0.22360679774997896
Kompass,croissance,0.22360679774997896
PeoplePerHour,tailored solution,0.22360679774997896
PeoplePerHour,capabilitie,0.22360679774997896
PeoplePerHour,advanced capabilitie,0.22360679774997896
